       913,         2,        11,         3,         3,        18,         8,         7,         7,         8
         1,      1096,         9,         4,         0,         6,         3,         2,        10,         4
         5,         2,       910,        23,        11,        13,        18,        21,        24,         5
         7,         6,        24,       863,         3,        43,         5,        16,        26,        17
         6,         2,        17,         5,       851,         6,        18,        14,        19,        44
        10,         3,         9,        36,         5,       758,        26,         1,        23,        21
        16,         5,         8,         7,        20,        24,       859,         5,        10,         4
         2,         8,        30,        19,        15,         9,         2,       921,         6,        16
         8,         5,        23,        35,        20,        22,        15,         9,       811,        26
         9,         4,        10,        23,        35,        18,         6,        17,        23,       864
