       915,         1,         7,         4,         3,        19,        11,         6,         5,         9
         1,      1099,         5,         4,         2,         8,         2,         3,         9,         2
         8,         4,       901,        21,        10,        10,        18,        27,        28,         5
         8,         6,        22,       857,         7,        47,         7,        14,        26,        16
         8,         5,        13,         8,       850,        10,        17,        13,         9,        49
        12,         5,         8,        37,         9,       748,        18,         3,        30,        22
        14,         3,        11,         7,        19,        17,       870,         5,        10,         2
         2,         9,        29,        16,        13,         6,         1,       928,         5,        19
         9,         5,        17,        33,        20,        20,        17,         8,       817,        28
         9,         2,         7,        19,        43,        17,         4,        22,        23,       863
