       978,         0,         1,         0,         0,         0,         0,         1,         0,         0
         0,      1132,         0,         1,         0,         0,         2,         0,         0,         0
         1,         1,      1023,         0,         1,         0,         0,         5,         1,         0
         0,         0,         1,      1006,         0,         2,         0,         0,         1,         0
         0,         0,         0,         0,       979,         0,         1,         0,         0,         2
         1,         0,         0,         5,         0,       885,         1,         0,         0,         0
         4,         2,         1,         0,         2,         1,       946,         0,         2,         0
         0,         2,         3,         0,         0,         0,         0,      1020,         2,         1
         1,         0,         2,         1,         0,         0,         0,         1,       968,         1
         0,         0,         0,         0,         7,         2,         0,         2,         2,       996
