       976,         1,         0,         0,         0,         0,         0,         2,         1,         0
         0,      1128,         1,         1,         0,         1,         2,         0,         2,         0
         1,         1,      1026,         1,         0,         0,         0,         3,         0,         0
         0,         0,         0,      1006,         0,         2,         0,         0,         2,         0
         0,         0,         1,         0,       975,         0,         1,         0,         0,         5
         1,         0,         0,         9,         0,       881,         1,         0,         0,         0
         3,         2,         0,         0,         3,         2,       946,         0,         2,         0
         0,         1,         1,         1,         0,         0,         0,      1021,         1,         3
         2,         0,         2,         0,         0,         1,         1,         0,       967,         1
         0,         0,         0,         0,         7,         5,         0,         3,         0,       994
