       916,         0,         8,         7,         7,        11,         9,         2,         9,        11
         1,      1088,        12,         5,         3,         4,         6,         4,        11,         1
        10,        10,       893,        34,        14,         6,         8,        24,        22,        11
         6,         4,        29,       865,         5,        39,         5,         8,        27,        22
         8,         4,         8,         8,       856,         7,        16,        11,        19,        45
        13,         7,         4,        42,         6,       745,        24,         6,        24,        21
        18,         3,        16,        11,        14,        21,       849,         2,        20,         4
         3,        14,        23,        17,        11,         3,         1,       924,        10,        22
        15,         6,        33,        45,        21,        33,        14,         7,       772,        28
        11,         4,         8,        20,        48,        13,         6,        17,        25,       857
