       970,         0,         0,         0,         0,         4,         3,         1,         2,         0
         0,      1123,         1,         5,         0,         2,         2,         0,         1,         1
         6,         0,      1001,         6,         2,         0,         4,         8,         5,         0
         0,         0,        12,       971,         0,         7,         0,         9,         9,         2
         1,         0,         1,         0,       959,         0,         5,         0,         2,        14
         2,         0,         0,         8,         3,       863,         6,         2,         5,         3
         5,         3,         0,         0,         2,         3,       942,         0,         3,         0
         1,         2,        22,         1,         2,         0,         0,       990,         1,         9
         2,         0,         5,         7,         5,         5,         2,         4,       934,        10
         6,         5,         2,        12,        12,         2,         1,         5,         5,       959
