       913,         1,        10,         4,         2,        17,        14,         2,         6,        11
         2,      1091,        11,         3,         2,         5,         6,         3,        10,         2
         9,         7,       883,        32,        13,        13,        14,        23,        27,        11
         8,         5,        28,       864,         5,        45,         4,        12,        24,        15
         5,         4,         9,         5,       866,         9,        13,        11,        24,        36
        20,         8,         3,        43,         8,       735,        28,         6,        25,        16
        17,         4,        14,        12,        16,        21,       846,         1,        21,         6
         2,        10,        22,        20,         5,         5,         5,       926,         8,        25
        13,         7,        31,        44,        23,        36,        16,         8,       776,        20
        12,         5,         7,        20,        45,        13,         5,        21,        23,       858
